Tokens_filename_"n-gram_count"_"start_ind"_"end_ind"_"pre_string"_"pos_string"_"output_classes"
BEIJING_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_0_0_[]_['An', 'activist', 'who', 'has', 'spent']_0
An_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_1_1_['BEIJING']_['activist', 'who', 'has', 'spent', 'the']_0
activist_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_2_2_['BEIJING', 'An']_['who', 'has', 'spent', 'the', 'last']_0
who_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_3_3_['BEIJING', 'An', 'activist']_['has', 'spent', 'the', 'last', 'several']_0
has_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_4_4_['BEIJING', 'An', 'activist', 'who']_['spent', 'the', 'last', 'several', 'years']_0
from social_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_19_20_['who', 'has', 'used', 'data', 'gleaned']_['media', 'and', 'other', 'online', 'platforms']_0
social media_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_20_21_['has', 'used', 'data', 'gleaned', 'from']_['and', 'other', 'online', 'platforms', 'to']_0
media and_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_21_22_['used', 'data', 'gleaned', 'from', 'social']_['other', 'online', 'platforms', 'to', 'collate']_0
and other_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_22_23_['data', 'gleaned', 'from', 'social', 'media']_['online', 'platforms', 'to', 'collate', 'information']_0
other online_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_23_24_['gleaned', 'from', 'social', 'media', 'and']_['platforms', 'to', 'collate', 'information', 'on']_0
online platforms_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_24_25_['from', 'social', 'media', 'and', 'other']_['to', 'collate', 'information', 'on', 'labor']_0
platforms to_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_25_26_['social', 'media', 'and', 'other', 'online']_['collate', 'information', 'on', 'labor', 'protests']_0
to collate_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_26_27_['media', 'and', 'other', 'online', 'platforms']_['information', 'on', 'labor', 'protests']_0
collate information_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_27_28_['and', 'other', 'online', 'platforms', 'to']_['on', 'labor', 'protests']_0
information on_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_28_29_['other', 'online', 'platforms', 'to', 'collate']_['labor', 'protests']_0
on labor_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_29_30_['online', 'platforms', 'to', 'collate', 'information']_['protests']_0
labor protests_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_30_31_['platforms', 'to', 'collate', 'information', 'on']_[]_0
Lu</name> a native_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_0_2_[]_['of', 'the', 'southwestern', 'province', 'of']_0
a native of_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_1_3_['Lu</name>']_['the', 'southwestern', 'province', 'of', 'Guizhou']_0
native of the_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_2_4_['Lu</name>', 'a']_['southwestern', 'province', 'of', 'Guizhou', 'is']_0
of the southwestern_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_3_5_['Lu</name>', 'a', 'native']_['province', 'of', 'Guizhou', 'is', 'a']_0
the southwestern province_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_4_6_['Lu</name>', 'a', 'native', 'of']_['of', 'Guizhou', 'is', 'a', 'former']_0
southwestern province of_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_5_7_['Lu</name>', 'a', 'native', 'of', 'the']_['Guizhou', 'is', 'a', 'former', 'migrant']_0
province of Guizhou_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_6_8_['a', 'native', 'of', 'the', 'southwestern']_['is', 'a', 'former', 'migrant', 'worker']_0
of Guizhou is_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_7_9_['native', 'of', 'the', 'southwestern', 'province']_['a', 'former', 'migrant', 'worker', 'who']_0
Guizhou is a_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_8_10_['of', 'the', 'southwestern', 'province', 'of']_['former', 'migrant', 'worker', 'who', 'has']_0
is a former_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_9_11_['the', 'southwestern', 'province', 'of', 'Guizhou']_['migrant', 'worker', 'who', 'has', 'used']_0
a former migrant_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_10_12_['southwestern', 'province', 'of', 'Guizhou', 'is']_['worker', 'who', 'has', 'used', 'data']_0
former migrant worker_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_11_13_['province', 'of', 'Guizhou', 'is', 'a']_['who', 'has', 'used', 'data', 'gleaned']_0
migrant worker who_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_12_14_['of', 'Guizhou', 'is', 'a', 'former']_['has', 'used', 'data', 'gleaned', 'from']_0
worker who has_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_13_15_['Guizhou', 'is', 'a', 'former', 'migrant']_['used', 'data', 'gleaned', 'from', 'social']_0
who has used_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_14_16_['is', 'a', 'former', 'migrant', 'worker']_['data', 'gleaned', 'from', 'social', 'media']_0
has used data_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_15_17_['a', 'former', 'migrant', 'worker', 'who']_['gleaned', 'from', 'social', 'media', 'and']_0
used data gleaned_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_16_18_['former', 'migrant', 'worker', 'who', 'has']_['from', 'social', 'media', 'and', 'other']_0
data gleaned from_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_17_19_['migrant', 'worker', 'who', 'has', 'used']_['social', 'media', 'and', 'other', 'online']_0
gleaned from social_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_18_20_['worker', 'who', 'has', 'used', 'data']_['media', 'and', 'other', 'online', 'platforms']_0
from social media_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_19_21_['who', 'has', 'used', 'data', 'gleaned']_['and', 'other', 'online', 'platforms', 'to']_0
social media and_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_20_22_['has', 'used', 'data', 'gleaned', 'from']_['other', 'online', 'platforms', 'to', 'collate']_0
media and other_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_21_23_['used', 'data', 'gleaned', 'from', 'social']_['online', 'platforms', 'to', 'collate', 'information']_0
and other online_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_22_24_['data', 'gleaned', 'from', 'social', 'media']_['platforms', 'to', 'collate', 'information', 'on']_0
other online platforms_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_23_25_['gleaned', 'from', 'social', 'media', 'and']_['to', 'collate', 'information', 'on', 'labor']_0
online platforms to_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_24_26_['from', 'social', 'media', 'and', 'other']_['collate', 'information', 'on', 'labor', 'protests']_0
platforms to collate_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_25_27_['social', 'media', 'and', 'other', 'online']_['information', 'on', 'labor', 'protests']_0
to collate information_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_26_28_['media', 'and', 'other', 'online', 'platforms']_['on', 'labor', 'protests']_0
collate information on_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_27_29_['and', 'other', 'online', 'platforms', 'to']_['labor', 'protests']_0
information on labor_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_28_30_['other', 'online', 'platforms', 'to', 'collate']_['protests']_0
on labor protests_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_29_31_['online', 'platforms', 'to', 'collate', 'information']_[]_0
He_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_0_0_[]_['has', 'published', 'his', 'findings', 'on']_0
has_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_1_1_['He']_['published', 'his', 'findings', 'on', 'his']_0
published_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_2_2_['He', 'has']_['his', 'findings', 'on', 'his', 'social']_0
his_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_3_3_['He', 'has', 'published']_['findings', 'on', 'his', 'social', 'media']_0
findings_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_4_4_['He', 'has', 'published', 'his']_['on', 'his', 'social', 'media', 'accounts']_0
on_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_5_5_['He', 'has', 'published', 'his', 'findings']_['his', 'social', 'media', 'accounts']_0
his_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_6_6_['has', 'published', 'his', 'findings', 'on']_['social', 'media', 'accounts']_0
social_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_7_7_['published', 'his', 'findings', 'on', 'his']_['media', 'accounts']_0
media_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_8_8_['his', 'findings', 'on', 'his', 'social']_['accounts']_0
accounts_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_9_9_['findings', 'on', 'his', 'social', 'media']_[]_0
He has_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_0_1_[]_['published', 'his', 'findings', 'on', 'his']_0
has published_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_1_2_['He']_['his', 'findings', 'on', 'his', 'social']_0
published his_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_2_3_['He', 'has']_['findings', 'on', 'his', 'social', 'media']_0
his findings_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_3_4_['He', 'has', 'published']_['on', 'his', 'social', 'media', 'accounts']_0
findings on_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_4_5_['He', 'has', 'published', 'his']_['his', 'social', 'media', 'accounts']_0
on his_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_5_6_['He', 'has', 'published', 'his', 'findings']_['social', 'media', 'accounts']_0
his social_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_6_7_['has', 'published', 'his', 'findings', 'on']_['media', 'accounts']_0
social media_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_7_8_['published', 'his', 'findings', 'on', 'his']_['accounts']_0
media accounts_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_8_9_['his', 'findings', 'on', 'his', 'social']_[]_0
He has published_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_0_2_[]_['his', 'findings', 'on', 'his', 'social']_0
has published his_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_1_3_['He']_['findings', 'on', 'his', 'social', 'media']_0
published his findings_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_2_4_['He', 'has']_['on', 'his', 'social', 'media', 'accounts']_0
his findings on_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_3_5_['He', 'has', 'published']_['his', 'social', 'media', 'accounts']_0
findings on his_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_4_6_['He', 'has', 'published', 'his']_['social', 'media', 'accounts']_0
on his social_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_5_7_['He', 'has', 'published', 'his', 'findings']_['media', 'accounts']_0
his social media_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_6_8_['has', 'published', 'his', 'findings', 'on']_['accounts']_0
social media accounts_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_7_9_['published', 'his', 'findings', 'on', 'his']_[]_0
Those_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_0_0_[]_['accounts', 'are', 'often', 'deleted', 'by']_0
accounts_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_1_1_['Those']_['are', 'often', 'deleted', 'by', 'censors']_0
are_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_2_2_['Those', 'accounts']_['often', 'deleted', 'by', 'censors', 'and']_0
often_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_3_3_['Those', 'accounts', 'are']_['deleted', 'by', 'censors', 'and', 'the']_0
deleted_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_4_4_['Those', 'accounts', 'are', 'often']_['by', 'censors', 'and', 'the', 'police']_0
by_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_5_5_['Those', 'accounts', 'are', 'often', 'deleted']_['censors', 'and', 'the', 'police', 'have']_0
censors_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_6_6_['accounts', 'are', 'often', 'deleted', 'by']_['and', 'the', 'police', 'have', 'questioned']_0
and_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_7_7_['are', 'often', 'deleted', 'by', 'censors']_['the', 'police', 'have', 'questioned', 'him']_0
the_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_8_8_['often', 'deleted', 'by', 'censors', 'and']_['police', 'have', 'questioned', 'him', 'at']_0
police_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_9_9_['deleted', 'by', 'censors', 'and', 'the']_['have', 'questioned', 'him', 'at', 'home']_0
have_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_10_10_['by', 'censors', 'and', 'the', 'police']_['questioned', 'him', 'at', 'home', 'before']_0
questioned_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_11_11_['censors', 'and', 'the', 'police', 'have']_['him', 'at', 'home', 'before']_0
him_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_12_12_['and', 'the', 'police', 'have', 'questioned']_['at', 'home', 'before']_0
at_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_13_13_['the', 'police', 'have', 'questioned', 'him']_['home', 'before']_0
home_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_14_14_['police', 'have', 'questioned', 'him', 'at']_['before']_0
before_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_15_15_['have', 'questioned', 'him', 'at', 'home']_[]_0
Those accounts_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_0_1_[]_['are', 'often', 'deleted', 'by', 'censors']_0
accounts are_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_1_2_['Those']_['often', 'deleted', 'by', 'censors', 'and']_0
are often_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_2_3_['Those', 'accounts']_['deleted', 'by', 'censors', 'and', 'the']_0
often deleted_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_3_4_['Those', 'accounts', 'are']_['by', 'censors', 'and', 'the', 'police']_0
deleted by_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_4_5_['Those', 'accounts', 'are', 'often']_['censors', 'and', 'the', 'police', 'have']_0
by censors_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_5_6_['Those', 'accounts', 'are', 'often', 'deleted']_['and', 'the', 'police', 'have', 'questioned']_0
censors and_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_6_7_['accounts', 'are', 'often', 'deleted', 'by']_['the', 'police', 'have', 'questioned', 'him']_0
and the_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_7_8_['are', 'often', 'deleted', 'by', 'censors']_['police', 'have', 'questioned', 'him', 'at']_0
the police_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_8_9_['often', 'deleted', 'by', 'censors', 'and']_['have', 'questioned', 'him', 'at', 'home']_0
police have_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_9_10_['deleted', 'by', 'censors', 'and', 'the']_['questioned', 'him', 'at', 'home', 'before']_0
have questioned_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_10_11_['by', 'censors', 'and', 'the', 'police']_['him', 'at', 'home', 'before']_0
questioned him_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_11_12_['censors', 'and', 'the', 'police', 'have']_['at', 'home', 'before']_0
him at_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_12_13_['and', 'the', 'police', 'have', 'questioned']_['home', 'before']_0
at home_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_13_14_['the', 'police', 'have', 'questioned', 'him']_['before']_0
home before_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_14_15_['police', 'have', 'questioned', 'him', 'at']_[]_0
Those accounts are_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_0_2_[]_['often', 'deleted', 'by', 'censors', 'and']_0
accounts are often_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_1_3_['Those']_['deleted', 'by', 'censors', 'and', 'the']_0
are often deleted_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_2_4_['Those', 'accounts']_['by', 'censors', 'and', 'the', 'police']_0
often deleted by_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_3_5_['Those', 'accounts', 'are']_['censors', 'and', 'the', 'police', 'have']_0
deleted by censors_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_4_6_['Those', 'accounts', 'are', 'often']_['and', 'the', 'police', 'have', 'questioned']_0
by censors and_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_5_7_['Those', 'accounts', 'are', 'often', 'deleted']_['the', 'police', 'have', 'questioned', 'him']_0
censors and the_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_6_8_['accounts', 'are', 'often', 'deleted', 'by']_['police', 'have', 'questioned', 'him', 'at']_0
and the police_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_7_9_['are', 'often', 'deleted', 'by', 'censors']_['have', 'questioned', 'him', 'at', 'home']_0
the police have_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_8_10_['often', 'deleted', 'by', 'censors', 'and']_['questioned', 'him', 'at', 'home', 'before']_0
police have questioned_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_9_11_['deleted', 'by', 'censors', 'and', 'the']_['him', 'at', 'home', 'before']_0
have questioned him_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_10_12_['by', 'censors', 'and', 'the', 'police']_['at', 'home', 'before']_0
questioned him at_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_11_13_['censors', 'and', 'the', 'police', 'have']_['home', 'before']_0
him at home_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_12_14_['and', 'the', 'police', 'have', 'questioned']_['before']_0
at home before_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_13_15_['the', 'police', 'have', 'questioned', 'him']_[]_0
He_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_0_0_[]_['lives', 'in', 'Dali', 'but', 'is']_0
lives_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_1_1_['He']_['in', 'Dali', 'but', 'is', 'quite']_0
in_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_2_2_['He', 'lives']_['Dali', 'but', 'is', 'quite', 'low']_0
Dali_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_3_3_['He', 'lives', 'in']_['but', 'is', 'quite', 'low', 'profile']_0
but_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_4_4_['He', 'lives', 'in', 'Dali']_['is', 'quite', 'low', 'profile', '<name>Mr']_0
is_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_5_5_['He', 'lives', 'in', 'Dali', 'but']_['quite', 'low', 'profile', '<name>Mr']_0
quite_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_6_6_['lives', 'in', 'Dali', 'but', 'is']_['low', 'profile', '<name>Mr']_0
low_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_7_7_['in', 'Dali', 'but', 'is', 'quite']_['profile', '<name>Mr']_0
profile_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_8_8_['Dali', 'but', 'is', 'quite', 'low']_['<name>Mr']_0
<name>Mr_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_9_9_['but', 'is', 'quite', 'low', 'profile']_[]_1
He lives_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_0_1_[]_['in', 'Dali', 'but', 'is', 'quite']_1
lives in_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_1_2_['He']_['Dali', 'but', 'is', 'quite', 'low']_1
in Dali_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_2_3_['He', 'lives']_['but', 'is', 'quite', 'low', 'profile']_1
Dali but_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_3_4_['He', 'lives', 'in']_['is', 'quite', 'low', 'profile', '<name>Mr']_1
but is_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_4_5_['He', 'lives', 'in', 'Dali']_['quite', 'low', 'profile', '<name>Mr']_1
is quite_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_5_6_['He', 'lives', 'in', 'Dali', 'but']_['low', 'profile', '<name>Mr']_1
quite low_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_6_7_['lives', 'in', 'Dali', 'but', 'is']_['profile', '<name>Mr']_1
low profile_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_7_8_['in', 'Dali', 'but', 'is', 'quite']_['<name>Mr']_1
profile <name>Mr_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_8_9_['Dali', 'but', 'is', 'quite', 'low']_[]_1
He lives in_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_0_2_[]_['Dali', 'but', 'is', 'quite', 'low']_1
lives in Dali_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_1_3_['He']_['but', 'is', 'quite', 'low', 'profile']_1
in Dali but_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_2_4_['He', 'lives']_['is', 'quite', 'low', 'profile', '<name>Mr']_1
Dali but is_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_3_5_['He', 'lives', 'in']_['quite', 'low', 'profile', '<name>Mr']_1
but is quite_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_4_6_['He', 'lives', 'in', 'Dali']_['low', 'profile', '<name>Mr']_1
is quite low_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_5_7_['He', 'lives', 'in', 'Dali', 'but']_['profile', '<name>Mr']_1
quite low profile_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_6_8_['lives', 'in', 'Dali', 'but', 'is']_['<name>Mr']_1
low profile <name>Mr_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_7_9_['in', 'Dali', 'but', 'is', 'quite']_[]_1
Wei</name>_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_0_0_[]_['said', 'also', 'by', 'phone']_0
said_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_1_1_['Wei</name>']_['also', 'by', 'phone']_0
