title, author, rating, format, pages, publish_date
What Is the What,Dave Eggers,4.16,Hardcover,475,October 18th 2006
سیمای شکسته پدر سالار,سید مرتضی مصطفوی,3.55,ebook,367,March 6th 2017
The Bourne Identity (Jason Bourne #1),Robert Ludlum,4.00,Paperback,566,March 24th 2005
The World Without Us,Alan Weisman,3.80,Hardcover,324,July 10th 2007
Prodigal Summer,Barbara Kingsolver,3.99,Paperback,444,October 16th 2001
Light in August,William Faulkner,3.94,Paperback,507,January 30th 1991
Because of Winn-Dixie,Kate DiCamillo,4.03,Paperback,182,August 6th 2001
The Hotel New Hampshire,John Irving,3.90,Paperback,520,October 22nd 1982
The Blind Assassin,Margaret Atwood,3.95,Paperback,637,September 3rd 2001
Sabriel (Abhorsen  #1),Garth Nix,4.17,Mass Market Paperback,491,September 30th 1996
A Sand County Almanac and Sketches Here and There,Aldo Leopold,4.26,Paperback,269,1968
Gift from the Sea,Anne Morrow Lindbergh,4.17,Paperback,130,January 30th 1991
A Feast for Crows (A Song of Ice and Fire #4),George R.R. Martin,4.12,Mass Market Paperback,1061,2011
The Lost Symbol (Robert Langdon #3),Dan Brown,3.69,Hardcover,509,September 15th 2009
Flatland: A Romance of Many Dimensions,Edwin A. Abbott,3.82,Paperback,96,September 21st 1992
The Sparrow (The Sparrow #1),Mary Doria Russell,4.17,Paperback,431,September 8th 1997
The Sea of Monsters (Percy Jackson and the Olympians #2),Rick Riordan,4.24,Hardcover,279,April 1st 2006
Dragonfly in Amber (Outlander #2),Diana Gabaldon,4.32,Paperback,743,August 7th 2001
Coraline,Neil Gaiman,4.05,Paperback,162,August 29th 2006
The Right Stuff,Tom Wolfe,4.24,Paperback,352,October 30th 2001
Columbine,Dave Cullen,4.28,Hardcover,417,April 6th 2009
Chronicle of a Death Foretold,Gabriel García Márquez,3.96,Paperback,120,October 7th 2003
Henry V,William Shakespeare,3.88,Paperback,352,June 22nd 2004
The Manson File: Myth and Reality of an Outlaw Shaman,Nikolas Schreck,4.21,Paperback,991,2011
The Story of Edgar Sawtelle,David Wroblewski,3.61,Hardcover,566,June 1st 2008
Possession,A.S. Byatt,3.89,Paperback,555,October 1st 1991
I Claudius (Claudius #1),Robert Graves,4.27,Paperback,468,October 23rd 1989
Now What?!!,Michael   Kramer,4.37,Kindle Edition,239,June 12th 2018
The Death of Ivan Ilych,Leo Tolstoy,4.06,Paperback,86,August 3rd 2006
A Study in Scarlet (Sherlock Holmes #1),Arthur Conan Doyle,4.15,Paperback,123,January 1st 2005
Quantum Roots II: Worm Holes,Kyle Keyes,4.35,Paperback,296,February 12th 2017
Howards End,E.M. Forster,3.96,Paperback,246,October 29th 2002
The Butter Battle Book,Dr. Seuss,4.18,Hardcover,42,January 12th 1984
Voyager (Outlander #3),Diana Gabaldon,4.39,Paperback,870,August 7th 2001
Orlando,Virginia Woolf,3.86,Paperback,228,September 28th 2000
The Heart of Aleppo: A Story of the Syrian Civil War,Ammar Habib,4.31,Kindle Edition,252,July 26th 2018
The Tempest,William Shakespeare,3.81,Mass Market Paperback,218,July 2004
Sometimes a Great Notion,Ken Kesey,4.23,Paperback,640,July 28th 1977
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.01,Paperback,162,2010
Howl and Other Poems,Allen Ginsberg,4.14,Hardcover,56,January 1st 2001
Nine Stories,J.D. Salinger,4.19,Paperback,198,January 30th 2001
John Adams,David McCullough,4.06,Paperback,751,May 22nd 2001
The Paper Bag Princess,Robert Munsch,4.32,Paperback,32,May 1st 1980
Pilgrim at Tinker Creek,Annie Dillard,4.11,Paperback,288,June 1st 2000
North and South,Elizabeth Gaskell,4.13,Paperback,521,January 13th 1994
Eating Animals,Jonathan Safran Foer,4.19,Hardcover,341,November 2nd 2009
Long Walk to Freedom,Nelson Mandela,4.33,Paperback,656,October 1st 1995
The Motorcycle Diaries: Notes on a Latin American Journey,Ernesto Che Guevara,3.79,Paperback,175,August 1st 2003
Letters to a Young Poet,Rainer Maria Rilke,4.33,Paperback,80,May 8th 2002
The Monkey Wrench Gang (Monkey Wrench Gang #1),Edward Abbey,4.09,Paperback,421,December 12th 2006
The Octunnumi Fosbit Files Prologue,Trevor Alan Foris,4.24,Digital virtual book,714,2018
Angle of Repose,Wallace Stegner,4.27,Paperback,569,May 28th 1992
Battle Royale,Koushun Takami,4.25,Paperback,617,February 26th 2003
A Great and Terrible Beauty (Gemma Doyle #1),Libba Bray,3.79,Hardcover,403,December 9th 2003
Frindle,Andrew Clements,3.80,Paperback,105,February 1st 1998
Demian. Die Geschichte von Emil Sinclairs Jugend,Hermann Hesse,4.12,Paperback,194,December 7th 1996
1Q84,Haruki Murakami,3.91,Hardcover,925,October 25th 2011
The Yearling,Marjorie Kinnan Rawlings,4.00,Paperback,513,September 1st 2001
Winter's Tale,Mark Helprin,3.50,Paperback,748,June 1st 2005
Civil Disobedience and Other Essays,Henry David Thoreau,4.06,Paperback,188,January 1st 2005
Naked Lunch,William S. Burroughs,3.45,Paperback,289,January 26th 2004
A New Earth: Awakening to Your Life's Purpose,Eckhart Tolle,4.06,Paperback,316,August 29th 2006
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Oliver Sacks,4.05,Paperback,243,April 2nd 1998
The Bean Trees (Greer Family #1),Barbara Kingsolver,3.96,Hardcover,232,March 1st 1989
Birdsong,Sebastian Faulks,4.08,Paperback,483,June 2nd 1997
The Red and the Black,Stendhal,3.87,Paperback,608,2002
The Tenant of Wildfell Hall,Anne Brontë,3.93,Paperback,542,April 16th 1996
Tropic of Cancer,Henry Miller,3.70,Paperback,318,January 6th 1994
Autobiography of a Yogi,Paramahansa Yogananda,4.23,Paperback,520,May 1st 1994
Kane and Abel (Kane and Abel #1),Jeffrey Archer,4.29,Paperback,592,March 13th 2004
The Bonfire of the Vanities,Tom Wolfe,3.84,Paperback,690,October 30th 2001
A Monster Calls,Patrick Ness,4.37,Hardcover,226,September 27th 2011
The Nanny Song,Misty Mount,4.25,Kindle Edition,318,May 10th 2018
The Last of the Mohicans (The Leatherstocking Tales #2),James Fenimore Cooper,3.70,Paperback,410,June 1st 1982
Mister God This is Anna,Fynn,4.14,Paperback,298,November 7th 2000
Fox in Socks,Dr. Seuss,4.06,Paperback,62,May 6th 2003
The Titan's Curse (Percy Jackson and the Olympians #3),Rick Riordan,4.35,Paperback,320,May 5th 2007
Drums of Autumn (Outlander #4),Diana Gabaldon,4.35,Paperback,880,August 7th 2001
Steve Jobs,Walter Isaacson,4.12,Hardcover,656,October 24th 2011
The Miraculous Journey of Edward Tulane,Kate DiCamillo,4.36,Hardcover,200,February 14th 2006
Bastard Out of Carolina,Dorothy Allison,4.10,Mass Market Paperback,320,September 6th 2005
Germinal,Émile Zola,4.12,Paperback,592,January 29th 2004
Long Day's Journey into Night,Eugene O'Neill,4.07,Paperback,179,February 8th 2002
Roll of Thunder Hear My Cry (Logans #4),Mildred D. Taylor,3.82,Paperback,288,October 1st 1991
The Guardian of Secrets and Her Deathly Pact,Jana Petken,4.18,Paperback,714,September 11th 2013
The Battle of the Labyrinth (Percy Jackson and the Olympians #4),Rick Riordan,4.39,Hardcover,361,March 6th 2008
Portrait of Our Marriage,Martha Emms,3.91,Kindle Edition,251,September 1st 2012
The Book of Negroes,Lawrence Hill,4.46,Paperback,470,January 12th 2015
Between Shades of Gray,Ruta Sepetys,4.37,Hardcover,344,March 22nd 2011
The Wealth of Nations,Adam Smith,3.89,Mass Market Paperback,1264,March 4th 2003
The Great Divorce,C.S. Lewis,4.28,Paperback,160,February 1st 2002
Brighton Rock,Graham Greene,3.70,Paperback,269,October 7th 2004
Carnal: Somewhere Over 40 Winks,Rom LcO'Feer,3.65,Paperback,222,September 16th 2009
Lips of a Mastodon,Ted Bernal Guevara,3.81,Paperback,226,September 30th 2015
The Robe,Lloyd C. Douglas,4.21,Paperback,528,April 7th 1999
The Moon is a Harsh Mistress,Robert A. Heinlein,4.17,Paperback,288,March 14th 2005
The Razor's Edge,W. Somerset Maugham,4.19,Paperback,314,September 9th 2003
Sir Gawain and the Green Knight,Unknown,3.69,Mass Market Paperback,144,November 2001
The Bronze Horseman (The Bronze Horseman #1),Paullina Simons,4.32,Paperback,637,April 2001
Rich Dad Poor Dad,Robert T. Kiyosaki,4.02,Paperback,195,December 1st 2007
The White Tiger,Aravind Adiga,3.73,Hardcover,320,2008
The Bridge To Caracas (The King Trilogy #1),Stephen Douglass,4.11,Kindle Edition,,(first published June 23rd 2011)
We the Living,Ayn Rand,3.90,Paperback,464,January 1st 1996
The Awakening: Fate in Motion,Suzanne Boisvert,4.32,Kindle Edition,331,September 15th 2018
The Mayor of Casterbridge,Thomas Hardy,3.82,Paperback,445,March 27th 2003
Message in a Bottle,Nicholas Sparks,3.95,Paperback,342,December 1st 1999
Sex in the Title: A Comedy about Dating Sex and Romance in NYC,Zack Love,3.45,Kindle Edition,376,October 20th 2013
The Invisible Game: The Mindset of a Winning Team,Zoltan Andrejkovics,4.48,Paperback,190,May 9th 2016
A Conceptual Circus,Kenneth Jarrett Singleton,4.50,Paperback,82,December 31st 2017
Red Dragon (Hannibal Lecter #1),Thomas  Harris,4.03,Hardcover,348,May 22nd 2000
Stones from the River (Burgdorf Cycle #1),Ursula Hegi,4.08,Paperback,525,March 1st 1995
The Secret of the Old Clock (Nancy Drew Mystery Stories #1),Carolyn Keene,3.99,Hardcover,210,September 1st 1991
I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,Malala Yousafzai,4.10,Hardcover,327,October 8th 2013
A Christmas Carol and Other Christmas Writings,Charles Dickens,4.13,Paperback,288,October 30th 2003
In and Out of Step,Christine M. Knight,4.14,Paperback,482,January 14th 2013
The Fiery Cross (Outlander #5),Diana Gabaldon,4.27,Mass Market Paperback,1443,August 30th 2005
I Am Number Four (Lorien Legacies #1),Pittacus Lore,3.94,Hardcover,440,August 3rd 2010
The Winter of Our Discontent,John Steinbeck,3.99,Paperback,336,August 26th 2008
Sapiens: A Brief History of Humankind,Yuval Noah Harari,4.45,Paperback,443,2014
Anna and the French Kiss (Anna and the French Kiss #1),Stephanie Perkins,4.03,Hardcover,372,December 2nd 2010
A Thousand Acres,Jane Smiley,3.80,Paperback,371,December 2nd 2003
The Invention of Religion,Alexander Drake,3.92,Kindle Edition,126,January 2012
Till We Have Faces,C.S. Lewis,4.19,Paperback,313,August 6th 2006
Notice Me,Emem Uko,4.27,Paperback,266,February 12th 2018
The Cadaver Factory,Kenneth Jarrett Singleton,4.36,Paperback,52,November 28th 2004
The Pianist: The Extraordinary Story of One Man's Survival in Warsaw 1939–45,Władysław Szpilman,4.23,Hardcover,222,1999
The Eyre Affair (Thursday Next #1),Jasper Fforde,3.91,Paperback,374,February 25th 2003
Reading Lolita in Tehran: A Memoir in Books,Azar Nafisi,3.59,Paperback,356,December 30th 2003
The Lost Boy (Dave Pelzer #2),Dave Pelzer,4.09,Paperback,331,August 1st 1997
Persepolis: The Story of a Childhood (Persepolis #1),Marjane Satrapi,4.24,Paperback,153,June 1st 2004
Matched (Matched #1),Ally Condie,3.67,Hardcover,369,November 30th 2010
The Dark Tower Books 1-3: The Gunslinger The Drawing of the Three and The Waste Lands,Stephen King,4.47,Paperback,1008,November 1st 1997
Johnny Tremain,Esther Forbes,3.63,Paperback,322,April 1st 1987
Some Are Sicker Than Others,Andrew Seaward,3.73,Paperback,380,May 1st 2012
In Defense of Food: An Eater's Manifesto,Michael Pollan,4.08,Hardcover,205,January 1st 2008
The Manufactured Identity (Manufactured Identity #1),Heath Sommer,3.53,Paperback,305,June 23rd 2009
The Jungle Book,Rudyard Kipling,3.93,Paperback,277,February 15th 1992
Christy,Catherine Marshall,4.22,Paperback,512,December 31st 2001
Fall of Giants (The Century Trilogy #1),Ken Follett,4.28,Hardcover,985,September 28th 2010
Nausea,Jean-Paul Sartre,3.92,Hardcover,178,1969
Ender's Shadow (The Shadow Series #1),Orson Scott Card,4.31,Paperback,469,May 19th 2002
Mountains Beyond Mountains: The Quest of Dr. Paul Farmer a Man Who Would Cure the World,Tracy Kidder,4.21,Paperback,333,August 31st 2004
Batman: The Dark Knight Returns,Frank Miller,4.25,Hardcover,197,November 2012
Cinder (The Lunar Chronicles #1),Marissa Meyer,4.15,Hardcover,400,2012
Me Talk Pretty One Day,David Sedaris,3.98,Paperback,272,2001
The Maltese Falcon,Dashiell Hammett,3.91,Paperback,213,March 1st 2005
The Magic Mountain,Thomas Mann,4.14,Paperback,706,1996
The Agony and the Ecstasy,Irving Stone,4.07,Mass Market Paperback,776,March 3rd 1987
Incidents in the Life of a Slave Girl,Harriet Ann Jacobs,4.10,Paperback,176,November 9th 2001
The Winds of War (The Henry Family #1),Herman Wouk,4.37,Paperback,896,February 5th 2002
The Book of Occult,Simon W. Clark,3.93,Paperback,336,December 21st 2013
Down and Rising,Rohith S. Katbamna,4.97,Paperback,676,January 12th 2019
Walk Two Moons,Sharon Creech,3.96,Paperback,280,May 24th 1996
City of Lost Souls (The Mortal Instruments #5),Cassandra Clare,4.29,Hardcover,534,May 8th 2012
City of Fallen Angels (The Mortal Instruments #4),Cassandra Clare,4.15,Hardcover,424,April 5th 2011
The Essential Rumi,Rumi,4.43,Paperback,416,May 28th 2004
The Secret (The Secret #1),Rhonda Byrne,3.66,Hardcover,199,2016
A Distant Mirror:  The Calamitous 14th Century,Barbara W. Tuchman,4.08,Paperback,677,July 12th 1987
All I Really Need to Know I Learned in Kindergarten,Robert Fulghum,4.02,Paperback,240,May 4th 2004
100 Love Sonnets,Pablo Neruda,4.40,Paperback,232,January 1st 1986
On Liberty,John Stuart Mill,3.95,Paperback,187,July 29th 1985
The Myth of Sisyphus and Other Essays,Albert Camus,4.20,Paperback,212,May 7th 1991
The Goose Girl (The Books of Bayern #1),Shannon Hale,4.17,Paperback,383,May 1st 2005
Crossroads and the Dominion of Four,C.Toni Graham,4.22,Paperback,340,November 16th 2017
Ordinary People,Judith Guest,3.90,Paperback,263,October 28th 1982
The Passage (The Passage #1),Justin Cronin,4.04,Hardcover,766,June 8th 2010
Harriet the Spy (Harriet the Spy #1),Louise Fitzhugh,3.95,Mass Market Paperback,300,2002
Kerri's War (The King Trilogy #3),Stephen Douglass,4.59,Kindle Edition,315,by Stephen Douglass (first published August 11th 2011)
The Scopas Factor,Vincent Panettiere,4.27,ebook,326,November 5th 2018
The Crystal Cave (Arthurian Saga #1),Mary  Stewart,4.13,Paperback,494,May 1st 2003
Suite Française,Irène Némirovsky,3.83,Paperback,431,April 10th 2007
The Lathe of Heaven,Ursula K. Le Guin,4.11,Paperback,176,August 19th 2003
Traveling Mercies: Some Thoughts on Faith,Anne Lamott,4.16,Paperback,275,February 15th 2000
The Complete Calvin and Hobbes,Bill Watterson,4.82,Hardcover,1456,September 6th 2005
Plague of Angels (The Descended #1),John Patrick Kennedy,3.47,ebook,416,December 8th 2013
The Little Engine That Could,Watty Piper,4.15,Hardcover,48,July 11th 2006
These Is My Words: The Diary of Sarah Agnes Prine 1881-1901 Arizona Territories (Sarah Agnes Prine #1),Nancy E. Turner,4.34,Paperback,384,February 17th 1999
Broken Promises (Past Imperfect Mystery Book 1),Anne  Willow,4.26,Kindle Edition,,May 13th 2018
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),Benjamin Alire Sáenz,4.34,Hardcover,359,February 21st 2012
The Greatest Show on Earth: The Evidence for Evolution,Richard Dawkins,4.17,Hardcover,470,September 10th 2009
The Talisman (The Talisman #1),Stephen King,4.13,Hardcover,656,September 15th 2001
One Thousand White Women: The Journals of May Dodd (One Thousand White Women #1),Jim Fergus,3.88,Paperback,434,February 15th 1999
The Black Stallion (The Black Stallion #1),Walter Farley,4.19,Hardcover,275,1941
The Valley of Horses (Earth's Children #2),Jean M. Auel,4.00,Mass Market Paperback,544,June 25th 2002
Allegiant (Divergent #3),Veronica Roth,3.63,Hardcover,526,October 22nd 2013
The Poetry of Robert Frost,Robert Frost,4.24,Paperback,607,March 15th 1979
Resonance (The Fray Theory #1),Nelou Keramati,4.15,Paperback,350,August 31st 2016
Not Without My Daughter,Betty Mahmoody,4.08,Paperback,528,July 5th 2004
The Gettysburg Address,Abraham Lincoln,4.53,Paperback,32,February 2nd 1998
Life Song,Christine M. Knight,4.21,Paperback,338,October 14th 2013
We Wish to Inform You That Tomorrow We Will Be Killed with Our Families,Philip Gourevitch,4.25,Paperback,356,September 4th 1999
The Gargoyle,Andrew Davidson,3.96,Hardcover,465,August 5th 2008
The Nightingale,Kristin Hannah,4.56,Hardcover,440,February 3rd 2015
Desecrating Solomon (Desecration #1),Lucian Bane,4.23,Hardcover,,October 22nd 2015
The Illustrated Man,Ray Bradbury,4.14,Paperback,186,August 2002
Metamorphoses,Ovid,4.05,Paperback,723,August 3rd 2004
Bentwhistle the Dragon in a Threat from the Past,Paul Cude,4.02,Paperback,384,October 19th 2011
Pale Fire,Vladimir Nabokov,4.18,Paperback,246,August 31st 2000
The Westing Game,Ellen Raskin,4.02,Paperback,182,April 12th 2004
Wizard's First Rule (Sword of Truth #1),Terry Goodkind,4.14,Paperback,836,April 14th 2003
An Inconvenient Truth: The Planetary Emergency of Global Warming and What We Can Do About It,Al Gore,3.75,Paperback,328,May 24th 2006
The Wretched of the Earth,Frantz Fanon,4.18,Paperback,320,2005
All the King's Men,Robert Penn Warren,4.09,Paperback,439,September 1st 1996
Three Men in a Boat (Three Men #1),Jerome K. Jerome,3.89,Mass Market Paperback,185,October 1st 1994
Jaws (Jaws #1),Peter Benchley,3.97,Hardcover,320,May 31st 2005
The Zahir,Paulo Coelho,3.57,Paperback,336,July 3rd 2006
Odd Thomas (Odd Thomas #1),Dean Koontz,3.96,Paperback,446,August 29th 2006
The Final Empire (Mistborn #1),Brandon Sanderson,4.45,Hardcover,541,July 25th 2006
Hopscotch,Julio Cortázar,4.25,Paperback,564,February 12th 1987
Pygmalion,George Bernard Shaw,3.90,Paperback,82,October 20th 1994
The Way of Kings (The Stormlight Archive #1),Brandon Sanderson,4.65,Hardcover,1007,August 31st 2010
Sarum: The Novel of England,Edward Rutherfurd,4.08,Hardcover,912,March 2nd 2004
The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,4.11,Hardcover,230,September 12th 2007
You Are Special (Wemmicksville #1),Max Lucado,4.46,Hardcover,32,September 1st 2004
The Andromeda Strain (Andromeda #1),Michael Crichton,3.89,Paperback,327,October 28th 2003
North and South (North and South #1),John Jakes,4.20,Paperback,812,June 1st 2000
Twelve Years a Slave,Solomon Northup,4.18,ebook,363,August 8th 2013
Let the Right One In,John Ajvide Lindqvist,4.07,Hardcover,513,August 2nd 2007
The Firm,John Grisham,4.00,Paperback,541,February 15th 2000
People of the Book,Geraldine Brooks,4.02,Hardcover,372,October 1st 2008
Lullaby,Chuck Palahniuk,3.73,Paperback,260,June 5th 2003
Fallen (Fallen #1),Lauren Kate,3.73,Hardcover,452,December 8th 2009
Red Gone Bad,Lucy Pireel,3.85,ebook,51,December 1st 2012
Ubik,Philip K. Dick,4.10,Paperback,288,May 1st 2006
Last Exit to Brooklyn,Hubert Selby Jr.,3.92,Paperback,290,2000
The Miracle of Mindfulness: An Introduction to the Practice of Meditation,Thich Nhat Hanh,4.26,Paperback,140,May 1st 1999
Shutter Island,Dennis Lehane,4.09,Mass Market Paperback,369,April 27th 2004
The Day of the Jackal,Frederick Forsyth,4.26,Paperback,384,October 4th 1982
Skinny Legs and All,Tom Robbins,4.04,Paperback,422,March 10th 2002
Reversione: Reset the Future,Chris A. Jones,4.15,ebook,,March 9th 2017
Surely You're Joking Mr. Feynman!: Adventures of a Curious Character,Richard Feynman,4.28,Paperback,391,April 12th 1997
Hard Times,Charles Dickens,3.52,Paperback,353,October 19th 2003
Explosion in Paris,Linda Masemore Pirrung,4.11,Paperback,408,April 24th 2009
Will Grayson Will Grayson,John Green,3.80,Hardcover,310,April 6th 2010
Black Hawk Down: A Story of Modern War,Mark Bowden,4.29,Hardcover,386,February 10th 1999
Bossypants,Tina Fey,3.95,Kindle Edition,283,April 5th 2011
Legend (Legend #1),Marie Lu,4.18,Hardcover,305,November 29th 2011
Dear John,Nicholas Sparks,4.03,Hardcover,276,October 30th 2006
The Decline and Fall of the Roman Empire,Edward Gibbon,3.97,Paperback,1312,August 12th 2003
Love on the Line,Kirsten Fullmer,4.26,Kindle Edition,374,June 14th 2017
The Chrysalids,John Wyndham,3.92,Mass Market Paperback,200,June 28th 1977
Skull Flowers,Jazon Dion Fletcher,4.27,Paperback,192,March 1st 2019
Nicu II and Victoria's Incestuous Romance,Kenneth Jarrett Singleton,4.40,Paperback,74,May 18th 2018
Enduring Love,Ian McEwan,3.63,Paperback,245,October 28th 2004
The End of the Affair,Graham Greene,3.95,Paperback,160,October 7th 2004
Memories Of My Future,Ammar Habib,4.21,Kindle Edition,308,July 26th 2016
Mere Christianity and The Screwtape Letters,C.S. Lewis,4.40,Hardcover,449,2003
Mrs. Frisby and the Rats of NIMH (Rats of NIMH #1),Robert C. O'Brien,4.14,Paperback,240,May 1st 2003
Cryptonomicon,Neal Stephenson,4.25,Paperback,1139,November 1st 2002
Suvashun,Simin Daneshvar,3.88,Paperback,392,May 28th 2006
Choke,Chuck Palahniuk,3.70,Paperback,293,June 2002
The Doors of Perception & Heaven and Hell,Aldous Huxley,3.95,Paperback,187,May 4th 2004
The Arabian Nights,Anonymous,4.05,Paperback,1049,June 1st 2004
The Kitchen House,Kathleen Grissom,4.19,Paperback,369,February 2nd 2010
Alanna: The First Adventure (Song of the Lioness #1),Tamora Pierce,4.27,Mass Market Paperback,274,January 1st 2005
Clockwork Princess (The Infernal Devices #3),Cassandra Clare,4.59,Paperback,567,September 5th 2013
Cujo,Stephen King,3.69,Paperback,432,June 6th 2006
Needful Things,Stephen King,3.90,Paperback,790,1992
Bound,Lucy Pireel,3.27,ebook,,February 3rd 2013
Crank (Crank #1),Ellen Hopkins,4.17,Paperback,537,October 1st 2004
The Universe in a Nutshell,Stephen Hawking,4.15,Hardcover,216,November 6th 2001
Harriet Tubman: Imagining a Life,Beverly Lowry,3.73,Hardcover,432,June 12th 2007
Wolf Hall (Thomas Cromwell #1),Hilary Mantel,3.86,Paperback,653,2010
Coming Storm,David J Morden,4.24,Paperback,208,May 17th 2017
Rights of Man,Thomas Paine,4.03,Paperback,229,November 29th 2000
The Wise Man's Fear (The Kingkiller Chronicle #2),Patrick Rothfuss,4.58,Hardcover,994,March 1st 2011
Where the Heart Is,Billie Letts,4.01,Paperback,376,June 1st 1998
Antigone / Oedipus the King / Electra,Sophocles,3.94,Paperback,178,September 17th 1998
The Grand Delusion (Manufactured Identity Book #2),Heath Sommer,4.13,Paperback,410,October 28th 2010
Those Who Save Us,Jenna Blum,4.13,Paperback,479,May 2nd 2005
Dress Your Family in Corduroy and Denim,David Sedaris,4.10,Paperback,272,January 1st 2004
The Long Walk,Richard Bachman,4.11,Paperback,370,April 1st 1999
A Man Called Ove,Fredrik Backman,4.36,Hardcover,337,July 15th 2014
The Elegant Universe: Superstrings Hidden Dimensions and the Quest for the Ultimate Theory,Brian Greene,4.07,Paperback,425,September 2nd 2004
The Woman in White,Wilkie Collins,3.99,Paperback,672,February 27th 2003
Noughts & Crosses (Noughts & Crosses #1),Malorie Blackman,4.23,Paperback,479,August 8th 2006
Number 13 (Lightmasters #1),M.G. Wells,4.13,Paperback,192,December 2nd 2011
Manufacturing Consent: The Political Economy of the Mass Media,Noam Chomsky,4.24,Paperback,412,2002
Dark Lover (Black Dagger Brotherhood #1),J.R. Ward,4.21,Mass Market Paperback,393,September 6th 2005
Christmas in Smithville (Hometown #4),Kirsten Fullmer,4.24,Kindle Edition,217,December 1st 2017
White Noise,Don DeLillo,3.86,Paperback,320,September 6th 2016
Sam's Letters to Jennifer,James Patterson,4.16,Paperback,263,March 1st 2006
Clockwork Prince (The Infernal Devices #2),Cassandra Clare,4.45,Hardcover,502,December 6th 2011
The Light Between Oceans,M.L. Stedman,4.02,Hardcover,343,July 31st 2012
The Mammoth Hunters (Earth's Children #3),Jean M. Auel,3.90,Paperback,688,June 25th 2002
A Scanner Darkly,Philip K. Dick,4.03,Paperback,219,August 17th 2006
Hush Hush (Hush Hush #1),Becca Fitzpatrick,3.99,Hardcover,391,October 13th 2009
A Man for All Seasons,Robert Bolt,3.91,Paperback,192,April 14th 1990
Solaris,Stanisław Lem,3.99,Paperback,204,November 20th 2002
The Adventures Of Pinocchio,Carlo Collodi,3.86,Hardcover,255,October 1st 2007
The Namesake,Jhumpa Lahiri,3.98,Paperback,291,September 1st 2004
The Very Hungry Caterpillar,Eric Carle,4.29,Board book,26,1994
Dark Places,Gillian Flynn,3.93,Hardcover,349,May 5th 2009
The Song of Achilles,Madeline Miller,4.32,Hardcover,352,September 20th 2011
Kim,Rudyard Kipling,3.72,Mass Market Paperback,366,1981
Hawaii,James A. Michener,4.20,Paperback,1136,July 9th 2002
The Decameron,Giovanni Boccaccio,3.87,Paperback,909,March 27th 2003
Stones (One True Child Series Book 5),L.C. Conn,4.28,Kindle Edition,327,March 1st 2019
The Devil Wears Prada (The Devil Wears Prada #1),Lauren Weisberger,3.73,Paperback,432,May 30th 2006
Way of the Peaceful Warrior: A Book That Changes Lives,Dan Millman,4.14,Paperback,240,April 13th 2006
An Abundance of Katherines,John Green,3.60,Hardcover,229,September 21st 2006
Half of a Yellow Sun,Chimamanda Ngozi Adichie,4.31,Hardcover,433,September 12th 2006
The Guns of August,Barbara W. Tuchman,4.17,Paperback,606,August 3rd 2004
Narcissus and Goldmund,Hermann Hesse,4.20,Capa comum,320,1997
Undaunted Courage: The Pioneering First Mission to Explore America's Wild Frontier,Stephen E. Ambrose,4.22,Paperback,592,October 6th 2003
Animal Liberation,Peter Singer,4.22,Paperback,352,December 1st 2001
Inferno (Robert Langdon #4),Dan Brown,3.83,Hardcover,463,May 14th 2013
The Gordonston Ladies Dog Walking Club (The Gordonston Ladies Dog Walking Club #1),Duncan Whitehead,3.39,Paperback,196,November 14th 2012
The Imitation of Christ,Thomas à Kempis,4.20,Paperback,288,March 24th 1998
Throne of Glass (Throne of Glass #1),Sarah J. Maas,4.22,Hardcover,406,August 7th 2012
The Last Prophet,Jeff W. Horton,4.07,Paperback,300,June 1st 2011
Poetics,Aristotle,3.82,Paperback,138,September 26th 1996
The Professor and the Madman: A Tale of Murder Insanity and the Making of the Oxford English Dictionary,Simon Winchester,3.84,Paperback,242,2005
For the Love of Armin,Michael   Kramer,4.32,Paperback,324,May 27th 2017
The Knife of Never Letting Go (Chaos Walking #1),Patrick Ness,3.97,Hardcover,479,May 5th 2008
Running with Scissors,Augusten Burroughs,3.71,Paperback,304,June 1st 2003
Look Me in the Eye: My Life with Asperger's,John Elder Robison,3.92,Hardcover,304,September 25th 2007
Mission: Subhero,Linda    Armstrong,4.35,Kindle Edition,225,June 22nd 2017
Kindred,Octavia E. Butler,4.23,Paperback,287,February 1st 2004
Portnoy's Complaint,Philip Roth,3.70,Paperback,274,May 18th 1995
Hard-Boiled Wonderland and the End of the World,Haruki Murakami,4.15,Paperback,400,September 28th 2001
The Steward (Weald Fae Journals #1),Christopher  Shields,3.96,Kindle Edition,336,August 7th 2012
Beautiful Disaster (Beautiful #1),Jamie McGuire,4.12,Kindle Edition,319,May 26th 2011
Heart of a Dog,Mikhail Bulgakov,4.13,Paperback,126,January 21st 1994
The Strange Case of Dr. Jekyll and Mr. Hyde and Other Tales of Terror,Robert Louis Stevenson,3.96,Paperback,178,February 27th 2003
The Life and Opinions of Tristram Shandy Gentleman,Laurence Sterne,3.74,Paperback,735,2003
The Drowned World,J.G. Ballard,3.53,Paperback,198,May 20th 2013
Insomnia,Stephen King,3.81,Pasta blanda,890,February 28th 2005
